feature,importance
city_Lucknow,0.00018820405232178764
venue_Nehru Stadium,0.00017471652867566168
"venue_Vidarbha Cricket Association Stadium, Jamtha",0.0001583047861996379
city_Nagpur,0.00013764479927571365
city_Kochi,0.00012317080875523558
venue_Green Park,0.00012285729553328126
"venue_Sawai Mansingh Stadium, Jaipur",0.00010853615767945657
city_Raipur,0.0001083480982914647
city_Guwahati,0.00010781037393283978
city_Kimberley,0.00010214367589070908
city_Kanpur,9.627875722728949e-05
venue_De Beers Diamond Oval,7.87911247867351e-05
team2_Kochi Tuskers Kerala,7.224887528948543e-05
"venue_Barsapara Cricket Stadium, Guwahati",7.173961437407731e-05
venue_Buffalo Park,4.773178177613205e-05
city_East London,3.383558344223999e-05
"venue_Himachal Pradesh Cricket Association Stadium, Dharamsala",3.328923688871179e-05
venue_OUTsurance Oval,1.2922129365015207e-05
city_Bloemfontein,0.0
